customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,debt_to_income,employment_group_mid,employment_group_high,employment_group_very_high
3015849,0,4602.632946,2885.882799,74944.74687,7,641,0.06141368325632987,False,True,False
6588805,0,4605.115659,712.0280516,71202.80516,1,597,0.06467604258921868,False,False,False
3955145,0,2351.44653,3676.544576,35154.15279,3,620,0.06688958041591309,True,False,False
6816175,0,3517.675467,3109.080012,59336.50754,2,562,0.059283493633808165,False,False,False
1827309,1,2605.629164,4674.896638,56469.35133,8,627,0.04614236045980095,False,True,False
3317995,2,3968.778489,9360.604758,59476.77818,5,594,0.06672820234123851,True,False,False
5465354,3,5998.151328,18415.09495,90302.82481,5,575,0.06642263229993413,True,False,False
3697096,2,6990.953982,12446.60683,75660.05054,1,717,0.09239954152956875,False,False,False
1097302,1,3974.6109,6863.660416,83353.46492,5,552,0.047683811390620716,True,False,False
4960841,1,2364.827243,3928.504593,45079.24001,6,660,0.052459341428014464,False,True,False
2739111,0,4172.079679,3331.100295,62236.35765,4,688,0.06703605153859772,True,False,False
1597158,1,5304.6146,7155.58766,75221.17561,8,706,0.07052022993502374,False,True,False
5450669,0,4123.949721,5070.165863,59908.02992,3,675,0.06883801264216234,True,False,False
2093621,0,5109.740554,8067.701347,86555.74749,3,632,0.059034098857390624,True,False,False
7966655,1,5051.446218,7454.919134,69929.49307,6,679,0.07223627680159873,False,True,False
6206954,1,4539.126059,7900.369948,72242.48433,5,703,0.06283181013357046,True,False,False
4696182,0,2949.610003,3440.62155,50162.04021,6,603,0.0588016354727929,False,True,False
4949319,0,4832.122071,4288.906349,92586.4218,5,625,0.05219039657281582,True,False,False
6158498,0,3367.065544,4886.439682,82159.35523,6,690,0.04098213203565327,False,True,False
7289344,1,4867.988816,8874.342824,67830.10491,5,703,0.07176737854760898,True,False,False
7678486,0,2647.608576,3633.448864,69427.6089,6,737,0.038134808586213605,False,True,False
7825945,1,1476.100275,3904.754506,33499.53472,5,699,0.04406330676941413,True,False,False
6520753,0,6903.79744,5804.638948,99344.78829,3,632,0.06949330265667227,True,False,False
4634975,0,3548.905465,2962.791576,52752.51267,3,642,0.06727462419090112,True,False,False
8273886,2,3007.626774,8441.126755,62013.75269,4,682,0.04849935124930753,True,False,False
5848904,1,5516.44859,8461.803966,84063.52917,3,731,0.06562237684363925,True,False,False
5128715,0,3997.173102,4200.725419,57177.08332,4,617,0.06990865692867246,True,False,False
2968618,3,4363.399153,9484.802682,59276.73966,7,656,0.07361064690851117,False,True,False
6608643,0,4397.76864,6263.018017,73384.39198,3,617,0.05992784734386785,True,False,False
7772428,0,2675.247869,595.0151085,59501.51085,8,694,0.04496100738927707,False,True,False
8953081,0,1886.273642,2744.071296,46137.16565,5,697,0.04088403818104938,True,False,False
7288631,2,4032.080072,10542.46742,60136.5016,3,637,0.0670487967327983,True,False,False
5243381,0,3350.269378,3518.257308,60639.75573,5,660,0.055248728126761536,True,False,False
8958453,0,2565.721957,2019.699485,36455.53798,4,634,0.07037948413784456,True,False,False
2657827,0,4474.980137,5492.806505,76918.08514,4,642,0.05817851716998684,True,False,False
2439936,1,3059.403398,4712.521752,49173.91313,5,651,0.062215984111573995,True,False,False
4588800,0,3531.387074,4492.749878,68484.10902,4,691,0.05156505829649764,True,False,False
3231776,0,6101.370441,8929.421877,83815.62835,3,614,0.07279514049004919,True,False,False
5284618,0,5453.522902,1321.182038,92270.11196,3,668,0.05910389384120565,True,False,False
7684658,2,5030.062163,12169.53125,76599.67271,5,687,0.06566688844798851,True,False,False
4589570,2,5352.814975,13403.78865,86798.43068,5,639,0.061669490255350776,True,False,False
6239834,0,2499.777119,2331.241372,45890.16553,3,555,0.054473046460593144,True,False,False
7992814,1,1808.383514,2781.741652,33827.34578,6,637,0.053459219820586226,False,True,False
3927659,1,3688.991907,7067.073656,62267.79168,5,641,0.059243981639144586,True,False,False
2327526,1,2776.783542,4893.591125,47595.74128,6,584,0.058341008403767,False,True,False
5945869,2,2823.802306,8406.342618,60689.2242,6,617,0.04652889113715183,False,True,False
4166865,0,3698.053364,5668.025962,74710.17389,5,708,0.049498658234216564,True,False,False
8449838,0,4926.372603,3585.052344,92421.49379,5,637,0.05330332156493486,True,False,False
2936932,1,3682.268726,7095.64834,74625.84017,5,617,0.04934307898727407,True,False,False
6821672,0,5833.528624,5515.26473,81900.27273,4,716,0.07122721853724893,True,False,False
3525847,0,4678.62134,5270.837062,80554.32649,4,593,0.058080323476862566,True,False,False
1264127,3,3716.653994,14457.85976,86584.87504,10,806,0.04292497959121614,False,True,False
2782832,0,3831.242026,3302.180053,63096.83398,6,588,0.060720035924693154,False,True,False
1011448,0,2567.077596,2155.719156,45305.04362,6,642,0.056662070950236516,False,True,False
8080127,0,6177.823276,5624.336904,89620.07369,3,618,0.06893347686110343,True,False,False
2898709,2,920.4571448,3053.526926,24953.45754,6,607,0.03688695818303021,False,True,False
1203004,1,3468.769868,3963.320373,58675.11138,6,634,0.05911824939768866,False,True,False
7991606,1,4310.659132,8493.86707,75434.81046,7,777,0.05714416336057167,False,True,False
7416698,3,4612.855841,14196.29906,74741.92695,4,593,0.06171711152277162,True,False,False
2044720,3,3880.875401,11275.36186,65963.09668,5,685,0.05883403897526055,True,False,False
2352746,3,5170.755778,15277.65242,81148.05602,4,647,0.06372002031355624,True,False,False
7128700,0,6255.967432,5574.499541,86966.56611,3,512,0.07193531620056282,True,False,False
5946473,0,4660.49976,3987.426444,71143.15314,5,683,0.06550876021517874,True,False,False
2440341,1,4407.340342,6510.292746,58045.03683,6,766,0.07592966742200619,False,True,False
5158204,0,1364.54037,2462.435483,26618.95924,4,704,0.05126197300567338,True,False,False
6630964,0,6661.449574,11659.96827,95454.97579,2,577,0.06978629996884733,False,False,False
8116726,0,2555.763081,2875.261034,58810.6734,6,656,0.04345747010269738,False,True,False
2884425,0,3730.172118,651.5752662,65157.52662,6,654,0.05724852233502414,False,True,False
1396193,0,4833.684299,5024.954096,69871.16016,2,609,0.06917996334870075,False,False,False
2334208,0,3712.315765,6749.670314,76574.60154,2,666,0.048479726832934424,False,False,False
2002062,0,4130.82249,5565.867522,64723.30911,3,709,0.06382279501469079,True,False,False
5434183,0,5076.13504,5209.355762,95959.41131,4,735,0.05289877220694259,True,False,False
1104109,0,3747.517909,3674.059145,60396.52792,5,557,0.062048565340773985,True,False,False
2882473,1,3445.65807,4603.413081,57432.49036,5,653,0.059994927059610785,True,False,False
1826981,1,3406.031159,6209.247909,72608.02036,7,748,0.046909847453662216,False,True,False
6048849,2,5695.119747,15330.56766,90343.36664,5,661,0.063038604369194,True,False,False
1139561,0,2854.960627,3505.835622,38443.67951,4,679,0.07426345925751891,True,False,False
7810509,0,1692.915406,2347.890256,33129.51097,6,682,0.051099921382268446,False,True,False
8548746,0,3873.220136,1240.953419,50163.39395,5,689,0.07721208297549811,True,False,False
1857124,0,4307.39082,2893.707351,64497.24323,7,703,0.06678410741742333,False,True,False
5201823,0,3741.381983,2842.012942,49131.38611,5,654,0.07615054813685573,True,False,False
7144360,3,3815.912903,16920.88357,72349.13999,4,699,0.05274303058097761,True,False,False
3835571,0,4634.22781,5870.038417,90501.41664,4,597,0.05120613557281881,True,False,False
7307413,1,3867.63169,4754.262315,60223.11652,7,711,0.06422171274904988,False,True,False
4723748,1,4455.747357,9620.528398,81130.10732,6,616,0.054921009033370036,False,True,False
7079328,0,5304.826903,6533.243765,87381.77822,5,650,0.06070861695723455,True,False,False
2461569,0,4191.403647,5557.973671,67994.94698,4,613,0.06164286955371637,True,False,False
1877308,2,1806.014695,5448.513166,41138.36937,8,725,0.04390097912624192,False,True,False
8877674,0,4325.029782,4874.423954,82630.39688,3,748,0.05234187351515477,True,False,False
7360289,0,5321.761139,4313.335852,100136.3171,7,656,0.0531451654416797,False,True,False
2029259,0,6277.372179,9524.698496,101555.6626,4,542,0.06181213354616033,True,False,False
5808503,1,4395.702097,7715.960479,73742.93107,5,676,0.059608453762536345,True,False,False
8613396,0,3274.081185,5779.710611,53803.42972,3,775,0.060852648279835345,True,False,False
7495567,0,2974.050495,3548.452654,56745.71949,2,720,0.05241012928779767,False,False,False
8239595,1,4422.837746,9261.235363,76485.15254,4,597,0.05782609564237917,True,False,False
3146185,0,2587.029313,4131.668627,63236.22111,7,553,0.040910561503981056,False,True,False
3989074,0,2623.886503,4341.133671,51578.83216,3,505,0.05087138256369549,True,False,False
8228035,2,3105.194132,6447.682338,47999.5451,8,654,0.06469215750963439,False,True,False
8335344,2,2847.408721,6588.068703,39331.36288,4,683,0.07239537388235044,True,False,False
5923724,1,6526.726513,13869.96364,102937.705,2,720,0.06340462431137356,False,False,False
5820835,2,5876.783931,13206.28717,98701.35371,5,700,0.05954106716982737,True,False,False
2701310,0,3638.176611,1640.370287,66473.45294,7,699,0.054731271659437884,False,True,False
7570780,1,3062.63652,6333.098228,73973.21633,8,613,0.0414019650887877,False,True,False
4111767,3,3143.389463,11201.3419,68382.63146,9,611,0.045967658685944345,False,True,False
7401514,3,5425.878839,17488.68785,84313.30131,4,611,0.0643537704572892,True,False,False
2360373,3,6093.927639,18524.19058,96969.73608,4,611,0.06284360343079115,True,False,False
8534617,2,2740.565439,9229.716217,82680.943,8,663,0.03314627699638114,False,True,False
8811513,0,5372.68773,4964.367356,95769.85872,4,635,0.05609998596435226,True,False,False
5565065,1,3444.519179,5743.746735,55636.01429,4,651,0.06191168118272478,True,False,False
7343269,1,3564.60071,5387.645129,59286.55278,5,649,0.06012494474467909,True,False,False
4552604,1,7631.64478,10152.50687,101846.1391,5,604,0.07493307893102057,True,False,False
4731095,0,3299.750608,3459.322702,79468.39225,9,825,0.041522805666173515,False,True,False
5564351,0,2609.463116,2138.720503,39218.14535,4,673,0.06653713715199946,True,False,False
5725787,0,4702.50774,753.649231,75364.9231,5,718,0.06239650419015687,True,False,False
3992019,0,4304.397622,5461.241614,72357.68514,4,579,0.05948777401697846,True,False,False
1810103,1,4379.556894,6895.11199,66764.16367,6,666,0.06559742013166149,False,True,False
7343205,1,3486.710864,3969.600437,44931.03673,6,568,0.07760138910108785,False,True,False
1456239,0,3920.03375,738.6547955,67318.62601,5,660,0.05823104216978061,True,False,False
1469587,0,4980.210203,3133.018215,64693.66368,5,721,0.07698142166803312,True,False,False
4059890,0,7256.357487,7861.740754,100100.563,3,649,0.0724906760714223,True,False,False
7910187,0,3942.369251,5025.079236,58632.78962,4,479,0.06723830260423484,True,False,False
2635455,3,5846.758736,17440.30686,93194.8622,8,688,0.06273692130637648,False,True,False
6221321,2,4657.794042,12246.55361,71536.5845,1,563,0.06511065735882317,False,False,False
3190566,2,5194.982427,8474.763456,63814.34365,3,548,0.08140775458716168,True,False,False
2702180,1,3751.543227,8098.526696,92300.19533,7,617,0.0406450193695381,False,True,False
1654953,1,3080.352284,6886.016024,66999.73161,7,756,0.045975591393865284,False,True,False
5207477,0,3400.525636,1315.268466,61283.10293,4,559,0.055488796640800246,True,False,False
5791682,1,5961.77695,7526.752206,104609.9858,8,727,0.05699051485771257,False,True,False
5422028,2,4262.123372,11957.06926,54446.9466,1,701,0.07828030106650645,False,False,False
3536723,0,3686.879389,599.4446611,59944.46611,5,661,0.06150491660455294,True,False,False
5693785,0,5492.956461,5431.847193,87327.12285,5,678,0.06290092106246462,True,False,False
3092068,1,4109.693938,7322.875511,60767.65552,5,699,0.06762962801234627,True,False,False
